"word","score"
"distributor",-0.203790763929077
"cubesats",-0.199686160700273
"cam",-0.196616045897345
"lp",-0.187782366108184
"geostationary",-0.186269807263863
"jetties",-0.185699385369535
"multiplex",-0.185567425283162
"recharging",-0.185249147231958
"site",-0.182443174633793
"compartment",-0.179754649863129
"leasing",-0.17862805169099
"satellites",-0.17784702631401
"specification",-0.176048767697016
"recyclates",-0.175869436464836
"borehole",-0.173732952539457
"clipper",-0.173648536603163
"auction",-0.173219738983772
"manufacturer",-0.172713913802156
"ce",-0.172495182066728
"containers",-0.172021205772153
"nautical",-0.171393763584892
"diameter",-0.171059179506158
"voltage",-0.170490622823791
"components",-0.17002682717618
"twi",-0.169170038614268
"floodlit",-0.168484581921743
"microwave",-0.168400580599661
"connector",-0.168359537447933
"composites",-0.168027543599158
"floodlighting",-0.167929003753321
"satnav",-0.167767684468458
"listings",-0.167489285298921
"epc",-0.166397046287585
"hst",-0.166277529802352
"ev",-0.166252188421724
"frontage",-0.166104620719668
"disused",-0.165851221342483
"cableways",-0.165837872488536
"mooring",-0.16574153391581
"design",-0.165308584739254
"linacs",-0.165184709182418
"specifications",-0.164669961810386
"blythe",-0.16432007368149
"geospatial",-0.164180503685947
"moorings",-0.16408036298343
"acoustic",-0.163999317478648
"lafarge",-0.163909803652265
"showroom",-0.16350123589033
"designs",-0.163489888308761
"shelf",-0.163212567441202
"gsm",-0.163176310053943
"ashchurch",-0.163175853847146
"orkneys",-0.163097117201833
"orbit",-0.163056811118701
"crd",-0.162966472293148
"ac",-0.162963990168519
"backhaul",-0.162947321048915
"biomethane",-0.162824153944964
"subcontracts",-0.162372010075873
"footbridge",-0.162104637781944
"prototype",-0.161839373541416
"psbp",-0.161813556230382
"windmill",-0.161607771011623
"smartcard",-0.16160121423631
"whitley",-0.161412503997563
"kv",-0.161220276901772
"sailings",-0.160935147403754
"widths",-0.160792652265362
"beddingham",-0.160729266031777
"hydropower",-0.160385781247268
"motorway",-0.160343636485461
"celsius",-0.160221427950162
"spec",-0.160066062590416
"locomotives",-0.160064622810362
"transmitter",-0.160000182891894
"urc",-0.159797409113941
"offsite",-0.159769685617186
"dinorwig",-0.159638970158857
"aerodynamics",-0.159517653218612
"cobalt",-0.159424327823889
"pontoon",-0.159423032937309
"pec",-0.15937838254706
"hqs",-0.159070181139794
"carriage",-0.159017719523135
"frequencies",-0.158997632040849
"gds",-0.15888363164561
"quay",-0.158858799012083
"cabling",-0.158555508378455
"wastewater",-0.15848780558925
"forecourt",-0.158258781466117
"tramline",-0.158141336267238
"refill",-0.158125462743388
"cableway",-0.158114428735527
"batteries",-0.157976599195606
"ouse",-0.157870227805273
"waterfront",-0.157811041611541
"limestone",-0.157742371711089
"landing",-0.157740300317343
"cube",-0.157652642802569
"recyclables",-0.157635847779362
"chassis",-0.157460058938191
"feeder",-0.157417772108405
"depot",-0.157399745876699
"turbine",-0.157381462272496
"simulators",-0.157338479849687
"satellite",-0.15668658513249
"functionality",-0.156612476809799
"geely",-0.156604395805396
"voyager",-0.15655072298512
"workshop",-0.156543697311899
"charger",-0.156367228640592
"dials",-0.156180139010249
"dab",-0.156051783453197
"connectors",-0.155996520944148
"scanner",-0.155894863057429
"fleet",-0.155882264561368
"cramlington",-0.155866484523168
"westinghouse",-0.155791422576853
"blending",-0.155657040365084
"wakehurst",-0.155585219565817
"tile",-0.155570098036442
"latte",-0.155534035983232
"undergrounding",-0.155433957427573
"mca",-0.15541409607958
"subsea",-0.155377255136618
"fibre",-0.155348464592828
"roofing",-0.155257327394894
"location",-0.155133875836715
"mezzanine",-0.154741741527138
"composite",-0.154685505535128
"gigabit",-0.154652661696064
"hurn",-0.154600907930864
"cartridges",-0.154591604892771
"cl",-0.154564569666764
"circuits",-0.154360590859029
"bbl",-0.154312864138966
"leased",-0.15427368820882
"tbc",-0.154211582188471
"js",-0.154175428285675
"termini",-0.15401904903657
"switches",-0.153997916867817
"interconnecting",-0.153971368679309
"itt",-0.153890324744878
"whickham",-0.15385346222422
"server",-0.15380281096309
"refurbishments",-0.153750145547395
"mptc",-0.153671681125088
"hydrogen",-0.153599378229937
"installation",-0.153536470216694
"afon",-0.15344082656569
"cfd",-0.153427429109118
"westlands",-0.153424155351706
"warehouse",-0.153309069236593
"depots",-0.153264979590555
"format",-0.153182473987578
"lighthouse",-0.153129620285516
"utilisation",-0.153089023264612
"manhole",-0.15307284434859
"upgrading",-0.153012083204449
"blackfriars",-0.152958611633083
"cp",-0.152902799040233
"condensing",-0.152823112021204
"campbeltown",-0.152715956690048
"biogas",-0.152708966219026
"astroturf",-0.152695755053065
"boatyard",-0.152621217104796
"kerbside",-0.152481040683603
"fabricators",-0.152479953090833
"hydro",-0.152468345601983
"sharpness",-0.152452874585327
"wolverton",-0.152382340660414
"software",-0.152346703077918
"multiplexes",-0.15229914516127
"whinwhistle",-0.152289448740258
"maglev",-0.152233122254385
"chargers",-0.152158031571943
"roadway",-0.1521220434881
"netpark",-0.15201754818419
"multipurpose",-0.151992245739481
"springfield",-0.151983438235493
"walkway",-0.151892968466307
"wick",-0.151865513086606
"consumables",-0.151814018725143
"store",-0.151719953600171
"radiator",-0.15170273246084
"floats",-0.151665982671726
"tamar",-0.151611843721515
"radars",-0.151602976449919
"spaceport",-0.151558544692015
"reactor",-0.151541460888725
"cepr",-0.151375303222053
"competefor",-0.151362878203162
"berth",-0.151276889561956
"spillway",-0.151244311956822
"directgov",-0.151242170198158
"biopharma",-0.151198341923256
"furnishings",-0.151151842901876
"marinas",-0.151043267523433
"tramway",-0.151028781094561
"flybe",-0.15093189942883
"lease",-0.150886129065335
"polyethylene",-0.150797005003263
"docks",-0.150775904288543
"tooling",-0.150750155374543
"refrigeration",-0.150733536992781
"refit",-0.150673929432508
"portobello",-0.150666230567924
"facility",-0.150646218330128
"megabytes",-0.150611420756971
"garrick",-0.150601975317719
"delft",-0.150588702126569
"supercomputer",-0.15057557596544
"sidings",-0.150522247009688
"herbarium",-0.150493128391921
"barnoldswick",-0.150439783910287
"lattice",-0.150423449785746
"cashes",-0.150413052543961
"sydenham",-0.15038741975457
"junction",-0.150338161320497
"ferry",-0.150250999806105
"engined",-0.150135428446931
"masterplan",-0.149972818646938
"walshford",-0.149969353517373
"initiators",-0.149933129687953
"mylostaccount",-0.149926570325795
"kingsway",-0.149870228642728
"fleets",-0.149793605835488
"cm",-0.14972079085152
"km",-0.149668591654599
"licenses",-0.14965883525766
"furniture",-0.149626335121516
"shoreside",-0.149475427728793
"tgv",-0.149471555793072
"poseidon",-0.1494540073477
"spacing",-0.14944245604515
"metres",-0.149424097009546
"flyer",-0.149382737158363
"alnwick",-0.149371665338091
"pharmacy",-0.149215204860136
"stavanger",-0.149177076775715
"dashboard",-0.149162397346448
"tonnage",-0.149155028191257
"saltash",-0.14915126820433
"ferries",-0.149143417425634
"dealership",-0.14904986272382
"methanol",-0.14902390099418
"spacecraft",-0.148974308935124
"foreshore",-0.148936151651041
"oilfield",-0.148828947754048
"billingsgate",-0.148805107956953
"bricklaying",-0.14878693346457
"tomography",-0.148775194037916
"sq",-0.148709915823341
"coed",-0.148703881133844
"penryn",-0.148562842500677
"shaded",-0.14856056468716
"fir",-0.148543487103394
"hangar",-0.148543093548377
"carriageway",-0.148523458684774
"grids",-0.148400899042317
"kwik",-0.148397649443413
"printer",-0.148377989009376
"oceanography",-0.148318013227564
"container",-0.148289856816079
"lakeside",-0.148190253866053
"radius",-0.148155533618295
"prototypes",-0.148030388887158
"weirs",-0.147997792228796
"jupiter",-0.147991455120169
"sonar",-0.147987619591403
"girders",-0.147962966704088
"plant",-0.14794789228118
"widgets",-0.147909722385945
"garon",-0.147812442706801
"octagon",-0.147729569551836
"navigation",-0.147653096828366
"paddock",-0.147573772845171
"simulator",-0.147303449298204
"situated",-0.147272192380277
"portion",-0.146994922848515
"comber",-0.146960671924743
"nndr",-0.146953341859297
"slots",-0.146923229825229
"isdn",-0.146923004143597
"curtilage",-0.146867969576716
"airfield",-0.146791659059073
"moc",-0.146771652490396
"esf",-0.146751002581691
"kw",-0.146738207030573
"nestles",-0.146662798980131
"valves",-0.146612301773983
"patrol",-0.146319631834932
"nantgarw",-0.146296923058178
"hereditament",-0.146278601305762
"upgrade",-0.146260716590001
"brunswick",-0.146257046297849
"scapa",-0.146235833278908
"minerva",-0.146206574864105
"servicing",-0.146199361348298
"infra",-0.14614686858204
"fm",-0.146018748860837
"jsf",-0.146017718865071
"hpb",-0.146000336546743
"juke",-0.145988266699119
"tugs",-0.145938001037327
"harwell",-0.14593571120269
"supergrid",-0.145903924631845
"goonhilly",-0.14571947690009
"mw",-0.145704370314829
"suite",-0.145683581599851
"waterworks",-0.145675900748172
"slot",-0.145663107620476
"wharves",-0.145628574717763
"embankment",-0.1455697624052
"lamp",-0.145543548527477
"atc",-0.145498373892285
"acre",-0.145486053376687
"priory",-0.145402719101619
"viaduct",-0.145289342580488
"skerne",-0.145188217412829
"shugborough",-0.145165213261704
"generator",-0.145080366520845
"navigations",-0.14493883179308
"pool",-0.144862786566744
"municipal",-0.144830659706714
"powershift",-0.144723759439122
"interconnector",-0.144705986590951
"ltd",-0.144705127913911
"grimethorpe",-0.144674499350433
"banded",-0.144652133511748
"lpg",-0.144613799600445
"modular",-0.144531680641044
"lime",-0.14451583728015
"hydroelectric",-0.144491679221993
"dummy",-0.144459112278418
"cannibalising",-0.144329387829717
"catchment",-0.144282615464505
"kilowatt",-0.144205044502214
"bacton",-0.14417620702971
"cheddar",-0.144168140701477
"selex",-0.14415281528567
"justgiving",-0.144115805396924
"pinchpoint",-0.144097180738766
"nova",-0.144079238683525
"wetherby",-0.144046228603423
"queensbury",-0.144008384195067
"footbridges",-0.143990755551503
"minis",-0.143951724338563
"jet",-0.143905148915206
"terminus",-0.143877003327202
"prittlewell",-0.143869381237183
